#WL(A)	Excit(eV)	Elm	Ion
6597.56	4.8	Fe	1'
6609.11	2.56	Fe	1'
6609.68	0.99	Fe	1'
6627.54	4.55	Fe	1'
6643.63	1.68	Ni	1'
6646.93	2.61	Fe	1'
6653.91	4.15	Fe	1'
6677.99	2.69	Fe	1'
6703.57	2.76	Fe	1'
6707.78	0	Li	1'
6710.32	1.49	Fe	1'
6717.68	2.71	Ca	1'
6721.85	5.86	Si	1'
6725.36	4.1	Fe	1'
6726.67	4.61	Fe	1'
6733.15	4.64	Fe	1'
6750.15	2.42	Fe	1'
6767.77	1.83	Ni	1'
6772.31	3.66	Ni	1'
6806.86	2.73	Fe	1'
6810.27	4.61	Fe	1'
6820.37	4.64	Fe	1'
6837.01	4.59	Fe	1'
